fecha,producto,cantidad,precio_unitario,total,dia_semana
2024-10-08,Producto_8,5.0,49.08,245.39999999999998,Martes
2024-10-27,Producto_6,0.0,26.2,0.0,Domingo
2024-10-31,Producto_6,13.0,38.31,498.03000000000003,Jueves
2024-10-13,Producto_9,16.0,23.83,381.28,Domingo
2024-10-17,Producto_6,3.0,25.29,75.87,Jueves
2024-10-15,Producto_6,4.0,15.13,60.52,Martes
2024-10-07,Producto_7,12.0,5.03,60.36,Lunes
2024-10-19,Producto_7,0.0,19.85,0.0,Sábado
2024-10-18,Producto_6,0.0,37.07,0.0,Viernes
2024-10-24,Producto_10,3.0,42.21,126.63,Jueves
2024-10-28,Producto_4,10.0,20.96,209.60000000000002,Lunes
2024-10-21,Producto_10,7.0,21.97,153.79,Lunes
2024-10-22,Producto_9,12.0,44.84,538.08,Martes
2024-10-26,Producto_4,15.0,47.02,705.3000000000001,Sábado
2024-10-11,Producto_9,8.0,33.93,271.44,Viernes
2024-10-24,Producto_5,10.0,26.61,266.1,Jueves
2024-10-18,Producto_6,15.0,6.84,102.6,Viernes
2024-10-05,Producto_8,0.0,37.33,0.0,Sábado
